Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
1QSS;X-RAY DIFFRACTION;154;2,3;
1QSY;X-RAY DIFFRACTION;156;2,3;
1QTM;X-RAY DIFFRACTION;165;2,3;
1QUM;X-RAY DIFFRACTION;315;1,55;
1QX0;X-RAY DIFFRACTION;178;2,26;
1QZG;X-RAY DIFFRACTION;267;1,9;
1QZH;X-RAY DIFFRACTION;173;2,4;
1R0A;X-RAY DIFFRACTION;28;2,8;
1R0N;X-RAY DIFFRACTION;104;2,6;
1R0O;X-RAY DIFFRACTION;279;2,24;
1R2Y;X-RAY DIFFRACTION;135;2,34;
1R2Z;X-RAY DIFFRACTION;318;1,63;
1R49;X-RAY DIFFRACTION;29;3,13;
1R4I;X-RAY DIFFRACTION;;3,1;
1R4O;X-RAY DIFFRACTION;109;2,5;
1R4R;X-RAY DIFFRACTION;;3;
1R71;X-RAY DIFFRACTION;347;2,2;
1R7M;X-RAY DIFFRACTION;201;2,25;
1R8D;X-RAY DIFFRACTION;36;2,7;
1R8E;X-RAY DIFFRACTION;131;2,4;
1R9S;X-RAY DIFFRACTION;;4,25;
1R9T;X-RAY DIFFRACTION;;3,5;
1RAM;X-RAY DIFFRACTION;16;2,7;
1RB8;X-RAY DIFFRACTION;;3,5;
1RBJ;X-RAY DIFFRACTION;;2,7;
1RC8;X-RAY DIFFRACTION;59;2,75;
1RCN;X-RAY DIFFRACTION;68;2,32;
1RCS;SOLUTION NMR;;;
1REP;X-RAY DIFFRACTION;20;2,6;
1RFF;X-RAY DIFFRACTION;343;1,7;
1RFI;X-RAY DIFFRACTION;243;2,2;
1RG1;X-RAY DIFFRACTION;198;2,1;
1RG2;X-RAY DIFFRACTION;222;2,1;
1RGT;X-RAY DIFFRACTION;222;2;
1RGU;X-RAY DIFFRACTION;184;2,22;
1RH0;X-RAY DIFFRACTION;227;2,3;
1RH6;X-RAY DIFFRACTION;152;1,7;
1RIO;X-RAY DIFFRACTION;176;2,3;
1RM1;X-RAY DIFFRACTION;301;2,5;
1RNB;X-RAY DIFFRACTION;96;1,9;
1RPE;X-RAY DIFFRACTION;36;2,5;
1RPZ;X-RAY DIFFRACTION;13;2,9;
1RR8;X-RAY DIFFRACTION;304;2,6;
1RRC;X-RAY DIFFRACTION;43;2,46;
1RRJ;X-RAY DIFFRACTION;436;2,3;
1RRQ;X-RAY DIFFRACTION;93;2,22;
1RRS;X-RAY DIFFRACTION;95;2,4;
1RTA;X-RAY DIFFRACTION;;2,5;
1RTD;X-RAY DIFFRACTION;;3,2;
1RUN;X-RAY DIFFRACTION;201;2,7;
1RUO;X-RAY DIFFRACTION;35;2,7;
1RV5;X-RAY DIFFRACTION;164;2,1;
1RVA;X-RAY DIFFRACTION;266;2;
1RVB;X-RAY DIFFRACTION;185;2,1;
1RVC;X-RAY DIFFRACTION;219;2,1;
1RXV;X-RAY DIFFRACTION;;2,5;
1RXW;X-RAY DIFFRACTION;152;2;
1RYR;X-RAY DIFFRACTION;207;2,28;
1RYS;X-RAY DIFFRACTION;735;2,03;
1RZ9;X-RAY DIFFRACTION;;3,1;
1RZR;X-RAY DIFFRACTION;87;2,8;
1RZT;X-RAY DIFFRACTION;1026;2,1;
1S0M;X-RAY DIFFRACTION;337;2,7;
1S0N;X-RAY DIFFRACTION;23;2,8;
1S0O;X-RAY DIFFRACTION;376;2,1;
1S0V;X-RAY DIFFRACTION;999;3,2;
1S10;X-RAY DIFFRACTION;333;2,1;
1S32;X-RAY DIFFRACTION;888;2,05;
1S40;SOLUTION NMR;;;
1S6M;X-RAY DIFFRACTION;162;2,28;
1S76;X-RAY DIFFRACTION;;2,88;
1S77;X-RAY DIFFRACTION;1;2,69;
1S97;X-RAY DIFFRACTION;555;2,4;
1S9F;X-RAY DIFFRACTION;1129;2;
1S9K;X-RAY DIFFRACTION;;3,1;
1SA3;X-RAY DIFFRACTION;331;1,95;
1SAX;X-RAY DIFFRACTION;37;2,8;
1SC7;X-RAY DIFFRACTION;;3;
1SEU;X-RAY DIFFRACTION;;3;
1SFO;X-RAY DIFFRACTION;;3,61;
1SFU;X-RAY DIFFRACTION;170;2;
1SKM;X-RAY DIFFRACTION;257;2,2;
1SKN;X-RAY DIFFRACTION;28;2,5;
1SKR;X-RAY DIFFRACTION;381;2,4;
1SKS;X-RAY DIFFRACTION;197;2,3;
1SKW;X-RAY DIFFRACTION;201;2,3;
1SL0;X-RAY DIFFRACTION;;3,2;
1SL1;X-RAY DIFFRACTION;239;2,2;
1SL2;X-RAY DIFFRACTION;223;2,3;
1SRS;X-RAY DIFFRACTION;;3,2;
1SSP;X-RAY DIFFRACTION;265;1,9;
1STX;X-RAY DIFFRACTION;383;2,1;
1SUZ;X-RAY DIFFRACTION;303;1,8;
1SVC;X-RAY DIFFRACTION;63;2,6;
1SX5;X-RAY DIFFRACTION;372;1,5;
1SX8;X-RAY DIFFRACTION;152;2,15;
1SXP;X-RAY DIFFRACTION;239;2,5;
1SXQ;X-RAY DIFFRACTION;1079;1,8;
1T03;X-RAY DIFFRACTION;;3,1;
1T05;X-RAY DIFFRACTION;21;3;
1T2K;X-RAY DIFFRACTION;8;3;
1T2S;SOLUTION NMR;;;
1T2T;X-RAY DIFFRACTION;72;2,5;
1T38;X-RAY DIFFRACTION;2;3,2;
1T39;X-RAY DIFFRACTION;;3,3;
1T3N;X-RAY DIFFRACTION;438;2,3;
1T7P;X-RAY DIFFRACTION;503;2,2;
1T8E;X-RAY DIFFRACTION;381;2,54;
1T8I;X-RAY DIFFRACTION;;3;
1T9I;X-RAY DIFFRACTION;656;1,6;
1T9J;X-RAY DIFFRACTION;189;2;
1TAU;X-RAY DIFFRACTION;;3;
1TC3;X-RAY DIFFRACTION;49;2,45;
1TDZ;X-RAY DIFFRACTION;431;1,8;
1TEZ;X-RAY DIFFRACTION;1614;1,8;
1TF3;SOLUTION NMR;;;
1TF6;X-RAY DIFFRACTION;;3,1;
1TGH;X-RAY DIFFRACTION;18;2,9;
1TK0;X-RAY DIFFRACTION;533;2,3;
1TK5;X-RAY DIFFRACTION;772;2,2;
1TK8;X-RAY DIFFRACTION;532;2,5;
1TKD;X-RAY DIFFRACTION;716;2,49;
1TL8;X-RAY DIFFRACTION;;3,1;
1TN9;SOLUTION NMR;;;
1TQE;X-RAY DIFFRACTION;;2,7;
1TRO;X-RAY DIFFRACTION;572;1,9;
1TRR;X-RAY DIFFRACTION;192;2,4;
1TSR;X-RAY DIFFRACTION;384;2,2;
1TTU;X-RAY DIFFRACTION;46;2,85;
1TUP;X-RAY DIFFRACTION;384;2,2;
1TV9;X-RAY DIFFRACTION;790;2;
1TVA;X-RAY DIFFRACTION;225;2,6;
1TW8;X-RAY DIFFRACTION;765;2,8;
1TX3;X-RAY DIFFRACTION;773;2,5;
1U0C;X-RAY DIFFRACTION;90;2,5;
1U0D;X-RAY DIFFRACTION;;2,9;
1U1K;X-RAY DIFFRACTION;209;2;
1U1L;X-RAY DIFFRACTION;118;2;
1U1M;X-RAY DIFFRACTION;114;2;
1U1N;X-RAY DIFFRACTION;137;2,1;
1U1O;X-RAY DIFFRACTION;87;2;
1U1P;X-RAY DIFFRACTION;195;1,9;
1U1Q;X-RAY DIFFRACTION;165;1,8;
1U1R;X-RAY DIFFRACTION;196;1,8;
1U35;X-RAY DIFFRACTION;105;3;
1U3E;X-RAY DIFFRACTION;31;2,92;
1U45;X-RAY DIFFRACTION;568;2,01;
1U47;X-RAY DIFFRACTION;397;2;
1U48;X-RAY DIFFRACTION;472;2,1;
1U49;X-RAY DIFFRACTION;475;2,15;
1U4B;X-RAY DIFFRACTION;591;1,6;
1U78;X-RAY DIFFRACTION;7;2,69;
1U8B;X-RAY DIFFRACTION;91;2,1;
1U8R;X-RAY DIFFRACTION;51;2,75;
1UA0;X-RAY DIFFRACTION;316;2,1;
1UA1;X-RAY DIFFRACTION;463;2;
1UAA;X-RAY DIFFRACTION;;3;
1UBD;X-RAY DIFFRACTION;87;2,5;
1UNJ;X-RAY DIFFRACTION;14;2,5;
1UNM;X-RAY DIFFRACTION;13;2;
1UUT;X-RAY DIFFRACTION;470;2;
1V14;X-RAY DIFFRACTION;33;2,9;
1V15;X-RAY DIFFRACTION;132;2,4;
1VAS;X-RAY DIFFRACTION;143;2,75;
1VFC;SOLUTION NMR;;;
1VKX;X-RAY DIFFRACTION;;2,9;
1VOL;X-RAY DIFFRACTION;;2,7;
1VPW;X-RAY DIFFRACTION;50;2,7;
1VRL;X-RAY DIFFRACTION;55;2,5;
1VRR;X-RAY DIFFRACTION;104;2,7;
1VS2;X-RAY DIFFRACTION;;2;
1VTG;X-RAY DIFFRACTION;;1,67;
1VTL;X-RAY DIFFRACTION;;2,25;
1VTN;X-RAY DIFFRACTION;5;2,5;
1VTO;X-RAY DIFFRACTION;521;1,9;
1W0T;X-RAY DIFFRACTION;72;2;
1W0U;X-RAY DIFFRACTION;130;1,8;
1W36;X-RAY DIFFRACTION;;3,1;
1W7A;X-RAY DIFFRACTION;266;2,27;
1WB9;X-RAY DIFFRACTION;955;2,1;
1WBB;X-RAY DIFFRACTION;285;2,5;
1WBD;X-RAY DIFFRACTION;247;2,4;
1WD0;X-RAY DIFFRACTION;95;1,9;
1WD1;X-RAY DIFFRACTION;89;2,2;
1WET;X-RAY DIFFRACTION;46;2,6;
1WTB;SOLUTION NMR;;;
1WTE;X-RAY DIFFRACTION;627;1,9;
1WTO;X-RAY DIFFRACTION;191;1,5;
1WTP;X-RAY DIFFRACTION;156;1,9;
1WTQ;X-RAY DIFFRACTION;235;1,7;
1WTR;X-RAY DIFFRACTION;144;1,8;
1WTV;X-RAY DIFFRACTION;139;1,6;
1WTW;X-RAY DIFFRACTION;58;2,2;
1WTX;X-RAY DIFFRACTION;94;2,2;
1WVL;X-RAY DIFFRACTION;146;2,6;
1X0F;SOLUTION NMR;;;
1X9M;X-RAY DIFFRACTION;315;2,1;
1X9N;X-RAY DIFFRACTION;;3;
1X9S;X-RAY DIFFRACTION;51;2,7;
1X9W;X-RAY DIFFRACTION;120;2,3;
1XBR;X-RAY DIFFRACTION;143;2,5;
1XC8;X-RAY DIFFRACTION;397;1,95;
1XC9;X-RAY DIFFRACTION;373;1,9;
1XF2;X-RAY DIFFRACTION;220;2,3;
1XHU;X-RAY DIFFRACTION;559;2,95;
1XHV;X-RAY DIFFRACTION;1027;2,5;
1XHZ;X-RAY DIFFRACTION;512;2,7;
1XI1;X-RAY DIFFRACTION;235;2,2;
1XJV;X-RAY DIFFRACTION;247;1,73;
1XNS;X-RAY DIFFRACTION;296;2,8;
1XO0;X-RAY DIFFRACTION;493;2;
1XPX;X-RAY DIFFRACTION;15;2,8;
1XS9;SOLUTION NMR;;;
1XSD;X-RAY DIFFRACTION;181;2,7;
1XSL;X-RAY DIFFRACTION;843;2,3;
1XSN;X-RAY DIFFRACTION;327;1,95;
1XSP;X-RAY DIFFRACTION;334;2,2;
1XVK;X-RAY DIFFRACTION;56;1,26;
1XVN;X-RAY DIFFRACTION;41;1,5;
1XVR;X-RAY DIFFRACTION;43;1,4;
1XYI;X-RAY DIFFRACTION;207;1,45;
1Y1W;X-RAY DIFFRACTION;;4;
1Y1Y;X-RAY DIFFRACTION;;4;
1Y6F;X-RAY DIFFRACTION;224;2,4;
1Y6G;X-RAY DIFFRACTION;79;2,8;
1Y77;X-RAY DIFFRACTION;;4,5;
1Y8Z;X-RAY DIFFRACTION;494;1,9;
1YA6;X-RAY DIFFRACTION;181;2,4;
1YF3;X-RAY DIFFRACTION;204;2,29;
1YFH;X-RAY DIFFRACTION;6;3,01;
1YFI;X-RAY DIFFRACTION;53;2,7;
1YFJ;X-RAY DIFFRACTION;343;2,69;
1YFL;X-RAY DIFFRACTION;2;3,09;
1YNW;X-RAY DIFFRACTION;;3;
1YO5;X-RAY DIFFRACTION;156;2;
1YQK;X-RAY DIFFRACTION;52;2,5;
1YQL;X-RAY DIFFRACTION;117;2,6;
1YQM;X-RAY DIFFRACTION;96;2,5;
1YQR;X-RAY DIFFRACTION;129;2,43;
1YRN;X-RAY DIFFRACTION;58;2,5;
1YSA;X-RAY DIFFRACTION;17;2,9;
1YTB;X-RAY DIFFRACTION;513;1,8;
1YTF;X-RAY DIFFRACTION;;2,5;
1YUI;SOLUTION NMR;;;
1YUJ;SOLUTION NMR;;;
1Z19;X-RAY DIFFRACTION;31;2,8;
1Z1B;X-RAY DIFFRACTION;;3,8;
1Z1C;X-RAY DIFFRACTION;101;3,5;
1Z1G;X-RAY DIFFRACTION;;4,4;
1Z63;X-RAY DIFFRACTION;;3;
1Z9C;X-RAY DIFFRACTION;174;2,64;
1ZAA;X-RAY DIFFRACTION;129;2,1;
1ZAY;X-RAY DIFFRACTION;25;2,7;
1ZBB;X-RAY DIFFRACTION;;9;
1ZBI;X-RAY DIFFRACTION;245;1,85;
1ZBL;X-RAY DIFFRACTION;120;2,2;
1ZET;X-RAY DIFFRACTION;168;2,3;
1ZG1;X-RAY DIFFRACTION;89;2,3;
1ZG5;X-RAY DIFFRACTION;260;2,3;
1ZGW;SOLUTION NMR;;;
1ZJM;X-RAY DIFFRACTION;344;2,1;
1ZJN;X-RAY DIFFRACTION;82;2,61;
1ZLA;X-RAY DIFFRACTION;66;2,9;
1ZLK;X-RAY DIFFRACTION;;3,1;
1ZM5;X-RAY DIFFRACTION;207;2,5;
1ZME;X-RAY DIFFRACTION;157;2,5;
1ZNS;X-RAY DIFFRACTION;33;2,5;
1ZQ3;SOLUTION NMR;;;
1ZQA;X-RAY DIFFRACTION;139;3,2;
1ZQB;X-RAY DIFFRACTION;147;3,2;
1ZQC;X-RAY DIFFRACTION;146;3,2;
1ZQD;X-RAY DIFFRACTION;145;3,5;
1ZQE;X-RAY DIFFRACTION;143;3,7;
1ZQF;X-RAY DIFFRACTION;142;2,9;
1ZQG;X-RAY DIFFRACTION;145;3,1;
1ZQH;X-RAY DIFFRACTION;145;3,1;
1ZQI;X-RAY DIFFRACTION;138;2,7;
1ZQJ;X-RAY DIFFRACTION;145;3,3;
1ZQK;X-RAY DIFFRACTION;138;3,2;
1ZQL;X-RAY DIFFRACTION;134;3,3;
1ZQM;X-RAY DIFFRACTION;143;3,2;
1ZQN;X-RAY DIFFRACTION;144;3;
1ZQO;X-RAY DIFFRACTION;145;3,2;
1ZQP;X-RAY DIFFRACTION;139;2,8;
1ZQQ;X-RAY DIFFRACTION;141;3,3;
1ZQR;X-RAY DIFFRACTION;143;3,7;
1ZQS;X-RAY DIFFRACTION;145;3,3;
1ZQT;X-RAY DIFFRACTION;134;3,4;
1ZR2;X-RAY DIFFRACTION;;3,9;
1ZR4;X-RAY DIFFRACTION;;3,4;
1ZRC;X-RAY DIFFRACTION;39;2,8;
1ZRD;X-RAY DIFFRACTION;31;2,8;
1ZRE;X-RAY DIFFRACTION;62;2,8;
1ZRF;X-RAY DIFFRACTION;266;2,1;
1ZS4;X-RAY DIFFRACTION;417;1,7;
1ZTG;X-RAY DIFFRACTION;;3;
1ZTT;X-RAY DIFFRACTION;282;1,85;
1ZTW;X-RAY DIFFRACTION;237;1,8;
1ZVV;X-RAY DIFFRACTION;46;2,98;
1ZX4;X-RAY DIFFRACTION;7;2,98;
1ZYQ;X-RAY DIFFRACTION;219;2,7;
1ZZI;X-RAY DIFFRACTION;136;1,8;
1ZZJ;X-RAY DIFFRACTION;80;2,3;
209D;X-RAY DIFFRACTION;83;3;
2A07;X-RAY DIFFRACTION;581;1,9;
2A0I;X-RAY DIFFRACTION;67;2,72;
2A3V;X-RAY DIFFRACTION;170;2,8;
2A66;X-RAY DIFFRACTION;86;2,2;
2A6O;X-RAY DIFFRACTION;123;2,6;
2AC0;X-RAY DIFFRACTION;1054;1,8;
2ACJ;X-RAY DIFFRACTION;;2,6;
2ADW;X-RAY DIFFRACTION;86;1,6;
2ADY;X-RAY DIFFRACTION;213;2,5;
2AGO;X-RAY DIFFRACTION;154;2,85;
2AGP;X-RAY DIFFRACTION;737;2,9;
2AGQ;X-RAY DIFFRACTION;160;2,1;
2AHI;X-RAY DIFFRACTION;998;1,85;
2AJQ;X-RAY DIFFRACTION;414;2,6;
2ALZ;X-RAY DIFFRACTION;79;2,5;
2AOQ;X-RAY DIFFRACTION;154;2,2;
2AOR;X-RAY DIFFRACTION;354;2;
2AQ4;X-RAY DIFFRACTION;140;2,32;
2AS5;X-RAY DIFFRACTION;115;2,7;
2ASD;X-RAY DIFFRACTION;501;1,95;
2ASJ;X-RAY DIFFRACTION;144;2,35;
2ASL;X-RAY DIFFRACTION;181;2,65;
2ATA;X-RAY DIFFRACTION;717;2,2;
2ATL;X-RAY DIFFRACTION;147;2,8;
2AU0;X-RAY DIFFRACTION;118;2,7;
2AXY;X-RAY DIFFRACTION;222;1,7;
2AYB;X-RAY DIFFRACTION;12;3,2;
2AYG;X-RAY DIFFRACTION;19;3,1;
2B0D;X-RAY DIFFRACTION;262;2;
2B0E;X-RAY DIFFRACTION;253;1,9;
2B9S;X-RAY DIFFRACTION;130;2,27;
2BAM;X-RAY DIFFRACTION;317;2;
2BCQ;X-RAY DIFFRACTION;570;1,65;
2BCR;X-RAY DIFFRACTION;524;1,75;
2BCS;X-RAY DIFFRACTION;269;2,2;
2BCU;X-RAY DIFFRACTION;245;2,2;
2BCV;X-RAY DIFFRACTION;345;2;
2BDP;X-RAY DIFFRACTION;468;1,8;
2BGW;X-RAY DIFFRACTION;7;2,8;
2BJC;SOLUTION NMR;;;
2BNW;X-RAY DIFFRACTION;79;2,45;
2BNZ;X-RAY DIFFRACTION;45;2,6;
2BOP;X-RAY DIFFRACTION;121;1,7;
2BPA;X-RAY DIFFRACTION;178;3;
2BPF;X-RAY DIFFRACTION;31;2,9;
2BPG;X-RAY DIFFRACTION;4;3,6;
2BQ3;X-RAY DIFFRACTION;169;2;
2BQR;X-RAY DIFFRACTION;109;2,37;
2BQU;X-RAY DIFFRACTION;116;2,5;
2BR0;X-RAY DIFFRACTION;118;2,17;
2BSQ;X-RAY DIFFRACTION;45;3;
2BZF;X-RAY DIFFRACTION;5;2,87;
2C22;X-RAY DIFFRACTION;110;2,56;
2C28;X-RAY DIFFRACTION;98;2,27;
2C2D;X-RAY DIFFRACTION;96;2,57;
2C2E;X-RAY DIFFRACTION;112;2,61;
2C2R;X-RAY DIFFRACTION;106;2,55;
2C5R;X-RAY DIFFRACTION;51;2,9;
2C62;X-RAY DIFFRACTION;176;1,74;
2C6Y;X-RAY DIFFRACTION;225;2,4;
2C7A;X-RAY DIFFRACTION;148;2,5;
2C7O;X-RAY DIFFRACTION;341;1,9;
2C7P;X-RAY DIFFRACTION;291;1,7;
2C7Q;X-RAY DIFFRACTION;366;1,85;
2C7R;X-RAY DIFFRACTION;271;1,9;
2C9L;X-RAY DIFFRACTION;81;2,25;
2C9N;X-RAY DIFFRACTION;;3,3;
2CAX;X-RAY DIFFRACTION;42;2,9;
2CCZ;X-RAY DIFFRACTION;119;2,7;
2CDM;X-RAY DIFFRACTION;237;2,7;
2CGP;X-RAY DIFFRACTION;149;2,2;
2CRX;X-RAY DIFFRACTION;361;2,5;
2CV5;X-RAY DIFFRACTION;430;2,5;
2D45;X-RAY DIFFRACTION;80;3,8;
2D55;X-RAY DIFFRACTION;104;3;
2D5V;X-RAY DIFFRACTION;195;2;
2D7D;X-RAY DIFFRACTION;204;2,1;
2D7G;X-RAY DIFFRACTION;;3,3;
2D7H;X-RAY DIFFRACTION;;3;
2DA8;SOLUTION NMR;;;
2DDG;X-RAY DIFFRACTION;302;2,1;
2DEM;X-RAY DIFFRACTION;301;1,95;
2DGC;X-RAY DIFFRACTION;46;2,2;
2DNJ;X-RAY DIFFRACTION;252;2;
2DP6;X-RAY DIFFRACTION;210;1,8;
2DPD;X-RAY DIFFRACTION;12;3,17;
2DPI;X-RAY DIFFRACTION;122;2,3;
2DPJ;X-RAY DIFFRACTION;127;2,3;
2DPU;X-RAY DIFFRACTION;8;3,1;
2DRP;X-RAY DIFFRACTION;57;2,8;
2DTU;X-RAY DIFFRACTION;857;2,37;
2DWL;X-RAY DIFFRACTION;;3,2;
2DWM;X-RAY DIFFRACTION;;3,15;
2DWN;X-RAY DIFFRACTION;;3,35;
2DY4;X-RAY DIFFRACTION;606;2,65;
2E1C;X-RAY DIFFRACTION;133;2,1;
2E2H;X-RAY DIFFRACTION;;3,95;
2E2I;X-RAY DIFFRACTION;;3,41;
2E2J;X-RAY DIFFRACTION;;3,5;
2,00E+42;X-RAY DIFFRACTION;316;1,8;
2,00E+43;X-RAY DIFFRACTION;331;2,1;
2,00E+52;X-RAY DIFFRACTION;968;2;
2EA0;X-RAY DIFFRACTION;412;1,4;
2EFW;X-RAY DIFFRACTION;24;2,5;
2ER8;X-RAY DIFFRACTION;33;2,85;
2ERE;X-RAY DIFFRACTION;24;3;
2ERG;X-RAY DIFFRACTION;13;3,15;
2ES2;X-RAY DIFFRACTION;63;1,78;
2ETW;X-RAY DIFFRACTION;331;1,67;
2EUV;X-RAY DIFFRACTION;269;1,94;
2EUW;X-RAY DIFFRACTION;342;1,68;
2EUX;X-RAY DIFFRACTION;349;1,57;
2EUZ;X-RAY DIFFRACTION;372;1,56;
2EVF;X-RAY DIFFRACTION;425;1,56;
2EVG;X-RAY DIFFRACTION;434;1,55;
2EVH;X-RAY DIFFRACTION;300;1,989;
2EVI;X-RAY DIFFRACTION;313;1,8;
2EVJ;X-RAY DIFFRACTION;335;1,89;
2EWJ;X-RAY DIFFRACTION;27;2,7;
2EX5;X-RAY DIFFRACTION;263;2,2;
2EXF;SOLUTION NMR;;;
2EZD;SOLUTION NMR;;;
2EZE;SOLUTION NMR;;;
2EZF;SOLUTION NMR;;;
2EZG;SOLUTION NMR;;;
2EZV;X-RAY DIFFRACTION;179;2,4;
2F03;X-RAY DIFFRACTION;111;3,05;
2F55;X-RAY DIFFRACTION;62;3,3;
2F5N;X-RAY DIFFRACTION;110;2;
2F5O;X-RAY DIFFRACTION;142;2,05;
2F5P;X-RAY DIFFRACTION;166;2;
2F5Q;X-RAY DIFFRACTION;35;2,35;
2F5S;X-RAY DIFFRACTION;41;2,35;
2F8N;X-RAY DIFFRACTION;120;2,9;
2F8X;X-RAY DIFFRACTION;10;3,25;
2FCC;X-RAY DIFFRACTION;183;2,3;
2FD8;X-RAY DIFFRACTION;214;2,3;
2FDC;X-RAY DIFFRACTION;;3,3;
2FDF;X-RAY DIFFRACTION;246;2,1;
2FDG;X-RAY DIFFRACTION;119;2,2;
2FDH;X-RAY DIFFRACTION;225;2,1;
2FDI;X-RAY DIFFRACTION;105;1,8;
2FDK;X-RAY DIFFRACTION;192;2,3;
2FF0;SOLUTION NMR;;;
2FIO;X-RAY DIFFRACTION;86;2,7;
2FJ7;X-RAY DIFFRACTION;;3,2;
2FJV;X-RAY DIFFRACTION;222;2,05;
2FJW;X-RAY DIFFRACTION;213;1,95;
2FJX;X-RAY DIFFRACTION;225;1,8;
2FKC;X-RAY DIFFRACTION;44;2,39;
2FKH;X-RAY DIFFRACTION;12;3,09;
2FL3;X-RAY DIFFRACTION;10;2,39;
2FLC;X-RAY DIFFRACTION;1;2,59;
2FLD;X-RAY DIFFRACTION;97;2;
2FLL;X-RAY DIFFRACTION;91;2,6;
2FLN;X-RAY DIFFRACTION;101;2,5;
2FLP;X-RAY DIFFRACTION;115;2,4;
2FMP;X-RAY DIFFRACTION;642;1,65;
2FMQ;X-RAY DIFFRACTION;321;2,2;
2FMS;X-RAY DIFFRACTION;331;2;
2FO1;X-RAY DIFFRACTION;;3,12;
2FQZ;X-RAY DIFFRACTION;555;2;
2FR4;X-RAY DIFFRACTION;400;1,95;
2FVP;X-RAY DIFFRACTION;170;2,25;
2FVQ;X-RAY DIFFRACTION;130;2,3;
2FVR;X-RAY DIFFRACTION;153;2,2;
2FVS;X-RAY DIFFRACTION;86;2,35;
2G1P;X-RAY DIFFRACTION;314;1,89;
2G8F;X-RAY DIFFRACTION;266;1,65;
2G8H;X-RAY DIFFRACTION;235;1,85;
2G8I;X-RAY DIFFRACTION;331;1,65;
2G8K;X-RAY DIFFRACTION;271;1,65;
2G8U;X-RAY DIFFRACTION;20;2,7;
2G8V;X-RAY DIFFRACTION;159;1,85;
2G8W;X-RAY DIFFRACTION;115;2,05;
2GAT;SOLUTION NMR;;;
2GB7;X-RAY DIFFRACTION;602;1,7;
2GE5;X-RAY DIFFRACTION;45;2,4;
2GEQ;X-RAY DIFFRACTION;236;2,3;
2GIE;X-RAY DIFFRACTION;508;2,6;
2GIG;X-RAY DIFFRACTION;463;1,83;
2GIH;X-RAY DIFFRACTION;363;2,5;
2GII;X-RAY DIFFRACTION;381;2,3;
2GIJ;X-RAY DIFFRACTION;330;1,93;
2GKD;SOLUTION NMR;;;
2GLI;X-RAY DIFFRACTION;44;2,6;
2GLO;SOLUTION NMR;;;
2GM4;X-RAY DIFFRACTION;;3,5;
2GWS;X-RAY DIFFRACTION;799;2,4;
2GXA;X-RAY DIFFRACTION;15;3,15;
2GZK;SOLUTION NMR;;;
2H1K;X-RAY DIFFRACTION;23;2,42;
2H1O;X-RAY DIFFRACTION;46;3;
2H27;X-RAY DIFFRACTION;136;2,3;
2H3A;SOLUTION NMR;;;
2H3C;SOLUTION NMR;;;
2H7F;X-RAY DIFFRACTION;54;2,7;
2H7G;X-RAY DIFFRACTION;395;1,9;
2H7H;X-RAY DIFFRACTION;49;2,3;
2H8C;X-RAY DIFFRACTION;2;3,1;
2H8R;X-RAY DIFFRACTION;7;3,2;
2HAN;X-RAY DIFFRACTION;222;1,95;
2HAP;X-RAY DIFFRACTION;74;2,5;
2HAX;X-RAY DIFFRACTION;234;1,29;
2HDC;SOLUTION NMR;;;
2HDD;X-RAY DIFFRACTION;183;1,9;
2HEO;X-RAY DIFFRACTION;228;1,7;
2HHQ;X-RAY DIFFRACTION;537;1,8;
2HHS;X-RAY DIFFRACTION;318;1,8;
2HHT;X-RAY DIFFRACTION;538;2,05;
2HHU;X-RAY DIFFRACTION;419;1,8;
2HHV;X-RAY DIFFRACTION;637;1,55;
2HHW;X-RAY DIFFRACTION;794;1,88;
2HHX;X-RAY DIFFRACTION;312;2,26;
2HMI;X-RAY DIFFRACTION;;2,8;
2HOF;X-RAY DIFFRACTION;501;2,4;
2HOI;X-RAY DIFFRACTION;822;2,601;
2HOS;X-RAY DIFFRACTION;129;1,9;
2HOT;X-RAY DIFFRACTION;80;2,19;
2HR1;X-RAY DIFFRACTION;164;1,96;
2HT0;X-RAY DIFFRACTION;260;2;
2HVH;X-RAY DIFFRACTION;278;2,492;
2HVI;X-RAY DIFFRACTION;652;1,98;
2HVR;X-RAY DIFFRACTION;129;2,45;
2HVS;X-RAY DIFFRACTION;98;2,5;
2HW3;X-RAY DIFFRACTION;603;1,98;
2HZV;X-RAY DIFFRACTION;;3,1;
2I05;X-RAY DIFFRACTION;10;2,6;
2I06;X-RAY DIFFRACTION;71;2,2;
2I0Q;X-RAY DIFFRACTION;309;1,91;
2I13;X-RAY DIFFRACTION;417;1,96;
2I3P;X-RAY DIFFRACTION;221;2,3;
2I3Q;X-RAY DIFFRACTION;147;2,3;
2I5S;X-RAY DIFFRACTION;155;1,9;
2I5W;X-RAY DIFFRACTION;49;2,6;
2I9G;X-RAY DIFFRACTION;429;2,1;
2I9K;X-RAY DIFFRACTION;;2,65;
2I9T;X-RAY DIFFRACTION;21;2,8;
2IA6;X-RAY DIFFRACTION;451;2,5;
2IBK;X-RAY DIFFRACTION;201;2,25;
2IBS;X-RAY DIFFRACTION;759;2,4;
2IBT;X-RAY DIFFRACTION;1041;1,7;
2IEF;X-RAY DIFFRACTION;39;2,601;
2IH2;X-RAY DIFFRACTION;1413;1,61;
2IH4;X-RAY DIFFRACTION;493;2,1;
